"year","canton","party","party_id","seats_with","seat_difference","seats_without"
1995,"BE",,4,8,0,8
1995,"BL",,4,1,0,1
1995,"GR",,4,1,-1,2
1995,"LU",,4,1,0,1
1995,"SG",,4,1,0,1
1995,"SZ",,4,1,0,1
1995,"TG",,4,2,0,2
1995,"VD",,4,1,0,1
1995,"ZH",,4,9,0,9
1999,"AG",,4,5,-1,6
1999,"AR",,4,1,0,1
1999,"BE",,4,8,-1,9
1999,"BL",,4,1,0,1
1999,"BS",,4,1,0,1
1999,"FR",,4,0,-1,1
1999,"GE",,4,0,-1,1
1999,"GR",,4,2,0,2
1999,"LU",,4,2,0,2
1999,"SG",,4,3,-1,4
1999,"SO",,4,1,0,1
1999,"SZ",,4,1,0,1
1999,"TG",,4,3,0,3
1999,"VD",,4,2,0,2
1999,"ZG",,4,1,1,0
1999,"ZH",,4,13,0,13
2003,"AG",,4,6,0,6
2003,"BE",,4,8,-1,9
2003,"BL",,4,2,0,2
2003,"BS",,4,1,0,1
2003,"FR",,4,1,-1,2
2003,"GE",,4,2,0,2
2003,"GR",,4,2,0,2
2003,"LU",,4,3,1,2
2003,"NE",,4,1,0,1
2003,"SG",,4,4,0,4
2003,"SO",,4,2,0,2
2003,"SZ",,4,2,0,2
2003,"TG",,4,3,0,3
2003,"VD",,4,4,0,4
2003,"VS",,4,1,0,1
2003,"ZG",,4,1,0,1
2003,"ZH",,4,12,-1,13
2007,"AG",,4,6,-1,7
2007,"BE",,4,10,0,10
2007,"BL",,4,2,0,2
2007,"BS",,4,1,0,1
2007,"FR",,4,1,-1,2
2007,"GE",,4,2,-1,3
2007,"GR",,4,2,0,2
2007,"JU",,4,1,1,0
2007,"LU",,4,3,0,3
2007,"NE",,4,1,0,1
2007,"OW",,4,1,0,1
2007,"SG",,4,5,0,5
2007,"SH",,4,1,0,1
2007,"SO",,4,2,0,2
2007,"SZ",,4,2,0,2
2007,"TG",,4,3,0,3
2007,"VD",,4,5,0,5
2007,"VS",,4,1,0,1
2007,"ZG",,4,1,0,1
2007,"ZH",,4,12,-1,13
