year,kt,party,id_kt,vote,seats,others_name,ap_s,ap_i,kname,s
1999,SO,cvp,SO1999,21.4,,,0,,Solothurn,2
2003,SO,cvp,SO2003,21.022299,,,0,,Solothurn,1
2007,SO,cvp,SO2007,20.4,,,0,SO07B,Solothurn,2
2011,SO,cvp,SO2011,17.9,,,1,SO11C,Solothurn,2
1995,SZ,cvp,SZ1995,27.4,,,0,,Schwyz,1
1999,SZ,cvp,SZ1999,27.299999,,,0,,Schwyz,1
2003,SZ,cvp,SZ2003,23.442228,,,0,,Schwyz,1
2007,SZ,cvp,SZ2007,20.1,,,0,,Schwyz,1
2011,SZ,cvp,SZ2011,20.6,,,0,,Schwyz,1
1995,TG,cvp,TG1995,13,,,0,TG95A,Thurgau,1
1999,TG,cvp,TG1999,15.7,,,0,TG99A,Thurgau,1
2003,TG,cvp,TG2003,16.450649,,,0,TG03B,Thurgau,1
2007,TG,cvp,TG2007,15.2,,,0,TG07B,Thurgau,1
2011,TG,cvp,TG2011,14.4,,,0,,Thurgau,1
1995,TI,cvp,TI1995,28.4,,,-1,,Tessin,2
1999,TI,cvp,TI1999,25.9,,,0,,Tessin,2
2003,TI,cvp,TI2003,24.559307,,,0,,Tessin,2
2007,TI,cvp,TI2007,24.1,,,0,,Tessin,2
2011,TI,cvp,TI2011,20,,,0,,Tessin,2
1995,UR,cvp,UR1995,0,,,0,,Uri,0
1999,UR,cvp,UR1999,0,,,0,,Uri,0
2003,UR,cvp,UR2003,0,,,0,,Uri,0
2007,UR,cvp,UR2007,0,,,0,,Uri,0
2011,UR,cvp,UR2011,0,,,0,,Uri,0
1995,VD,cvp,VD1995,5.5999999,,,0,VD95A,Waadt,1
1999,VD,cvp,VD1999,4.5,,,0,VD99A,Waadt,1
2003,VD,cvp,VD2003,4.4426508,,,-1,VD03A,Waadt,0
2007,VD,cvp,VD2007,5.5999999,,,0,VD07B,Waadt,1
2011,VD,cvp,VD2011,4.5999999,,,0,VD11C,Waadt,1
1995,VS,cvp,VS1995,54.799999,,,0,,Wallis,4
1999,VS,cvp,VS1999,51.400002,,,0,,Wallis,4
2003,VS,cvp,VS2003,47.850716,,,-1,,Wallis,3
2007,VS,cvp,VS2007,44.900002,,,0,,Wallis,4
2011,VS,cvp,VS2011,39.900002,,,-1,,Wallis,3
1995,ZG,cvp,ZG1995,27.1,,,0,,Zug,1
1999,ZG,cvp,ZG1999,26.4,,,0,,Zug,1
2003,ZG,cvp,ZG2003,22.895842,,,0,,Zug,1
2007,ZG,cvp,ZG2007,23.299999,,,0,,Zug,1
2011,ZG,cvp,ZG2011,24.299999,,,0,ZG11B,Zug,1
1995,ZH,cvp,ZH1995,4.9000001,,,1,ZH95B,Zürich,2
1999,ZH,cvp,ZH1999,5.0999999,,,0,ZH99B,Zürich,2
2003,ZH,cvp,ZH2003,5.4300299,,,0,ZH03B,Zürich,2
2007,ZH,cvp,ZH2007,7.5999999,,,1,ZH07C,Zürich,3
2011,ZH,cvp,ZH2011,5,,,0,ZH11C,Zürich,2
1995,AG,edu,AG1995,1.3,,,0,AG95C,Aargau,0
1999,AG,edu,AG1999,1.4,,,0,AG99C,Aargau,0
2003,AG,edu,AG2003,0,,,0,,Aargau,0
2007,AG,edu,AG2007,1.2,,,0,AG07D,Aargau,0
2011,AG,edu,AG2011,1.2,,,0,AG11A,Aargau,0
1995,AI,edu,AI1995,0,,,0,,Appenzell I. Rh. ,0
1999,AI,edu,AI1999,0,,,0,,Appenzell I. Rh. ,0
2003,AI,edu,AI2003,0,,,0,,Appenzell I. Rh. ,0
2007,AI,edu,AI2007,0,,,0,,Appenzell I. Rh. ,0
2011,AI,edu,AI2011,0,,,0,,Appenzell I. Rh. ,0
1995,AR,edu,AR1995,0,,,0,,Appenzell A. Rh.,0
1999,AR,edu,AR1999,0,,,0,,Appenzell A. Rh.,0
2003,AR,edu,AR2003,0,,,0,,Appenzell A. Rh.,0
2007,AR,edu,AR2007,0,,,0,,Appenzell A. Rh.,0
2011,AR,edu,AR2011,0,,,0,,Appenzell A. Rh.,0
1995,BE,edu,BE1995,4.1999998,,,0,,Bern,1
1999,BE,edu,BE1999,4,,,0,BE99F,Bern,1
2003,BE,edu,BE2003,4.1070333,,,0,,Bern,1
2007,BE,edu,BE2007,3.5999999,,,0,,Bern,1
2011,BE,edu,BE2011,3.0999999,,,0,,Bern,0
1995,BL,edu,BL1995,.60000002,,,0,BL95B,Basel-Landschaft ,0
1999,BL,edu,BL1999,0,,,0,,Basel-Landschaft ,0
2003,BL,edu,BL2003,0,,,0,,Basel-Landschaft ,0
2007,BL,edu,BL2007,.5,,,0,,Basel-Landschaft ,0
2011,BL,edu,BL2011,0,,,0,,Basel-Landschaft ,0
1995,BS,edu,BS1995,0,,,0,,Basel-Stadt,0
1999,BS,edu,BS1999,0,,,0,,Basel-Stadt,0
2003,BS,edu,BS2003,.73911315,,,0,,Basel-Stadt,0
2007,BS,edu,BS2007,.5,,,0,BS07C,Basel-Stadt,0
2011,BS,edu,BS2011,.5,,,0,BS11D,Basel-Stadt,0
1995,FR,edu,FR1995,0,,,0,,Freiburg,0
1999,FR,edu,FR1999,0,,,0,,Freiburg,0
2003,FR,edu,FR2003,.71822262,,,0,,Freiburg,0
2007,FR,edu,FR2007,.89999998,,,0,FR07C,Freiburg,0
2011,FR,edu,FR2011,.69999999,,,0,FR11C,Freiburg,0
1995,GE,edu,GE1995,0,,,0,,Genf,0
1999,GE,edu,GE1999,0,,,0,,Genf,0
2003,GE,edu,GE2003,0,,,0,,Genf,0
2007,GE,edu,GE2007,0,,,0,,Genf,0
2011,GE,edu,GE2011,0,,,0,,Genf,0
1995,GL,edu,GL1995,0,,,0,,Glarus,0
1999,GL,edu,GL1999,0,,,0,,Glarus,0
2003,GL,edu,GL2003,0,,,0,,Glarus,0
2007,GL,edu,GL2007,0,,,0,,Glarus,0
2011,GL,edu,GL2011,0,,,0,,Glarus,0
1995,GR,edu,GR1995,0,,,0,,Graubünden,0
1999,GR,edu,GR1999,0,,,0,,Graubünden,0
2003,GR,edu,GR2003,1.8704633,,,0,,Graubünden,0
2007,GR,edu,GR2007,1.6,,,0,,Graubünden,0
2011,GR,edu,GR2011,.5,,,0,GR11B,Graubünden,0
1995,JU,edu,JU1995,0,,,0,,Jura,0
1999,JU,edu,JU1999,0,,,0,,Jura,0
2003,JU,edu,JU2003,1.7871054,,,0,,Jura,0
2007,JU,edu,JU2007,0,,,0,,Jura,0
2011,JU,edu,JU2011,0,,,0,,Jura,0
1995,LU,edu,LU1995,0,,,0,,Luzern,0
1999,LU,edu,LU1999,0,,,0,,Luzern,0
2003,LU,edu,LU2003,0,,,0,,Luzern,0
2007,LU,edu,LU2007,0,,,0,,Luzern,0
2011,LU,edu,LU2011,0,,,0,,Luzern,0
1995,NE,edu,NE1995,2.3,,,0,,Neuenburg,0
1999,NE,edu,NE1999,0,,,0,,Neuenburg,0
2003,NE,edu,NE2003,0,,,0,,Neuenburg,0
2007,NE,edu,NE2007,0,,,0,,Neuenburg,0
2011,NE,edu,NE2011,0,,,0,,Neuenburg,0
1995,NW,edu,NW1995,0,,,0,,Nidwalden,0
1999,NW,edu,NW1999,0,,,0,,Nidwalden,0
2003,NW,edu,NW2003,0,,,0,,Nidwalden,0
2007,NW,edu,NW2007,0,,,0,,Nidwalden,0
2011,NW,edu,NW2011,0,,,0,,Nidwalden,0
1995,OW,edu,OW1995,0,,,0,,Obwalden ,0
1999,OW,edu,OW1999,0,,,0,,Obwalden ,0
2003,OW,edu,OW2003,0,,,0,,Obwalden ,0
2007,OW,edu,OW2007,0,,,0,,Obwalden ,0
2011,OW,edu,OW2011,0,,,0,,Obwalden ,0
1995,SG,edu,SG1995,1,,,0,,St. Gallen,0
1999,SG,edu,SG1999,1,,,0,SG99D,St. Gallen,0
2003,SG,edu,SG2003,1.1186615,,,0,SG03D,St. Gallen,0
2007,SG,edu,SG2007,1,,,0,SG07B,St. Gallen,0
2011,SG,edu,SG2011,1.2,,,0,SG11B,St. Gallen,0
1995,SH,edu,SH1995,0,,,0,,Schaffhausen,0
1999,SH,edu,SH1999,0,,,0,,Schaffhausen,0
2003,SH,edu,SH2003,0,,,0,,Schaffhausen,0
2007,SH,edu,SH2007,0,,,0,,Schaffhausen,0
2011,SH,edu,SH2011,3.8,,,0,SH11C,Schaffhausen,0
1995,SO,edu,SO1995,0,,,0,,Solothurn,0
1999,SO,edu,SO1999,0,,,0,,Solothurn,0
2003,SO,edu,SO2003,0,,,0,,Solothurn,0
2007,SO,edu,SO2007,0,,,0,,Solothurn,0
2011,SO,edu,SO2011,.5,,,0,SO11A,Solothurn,0
1995,SZ,edu,SZ1995,0,,,0,,Schwyz,0
1999,SZ,edu,SZ1999,0,,,0,,Schwyz,0
2003,SZ,edu,SZ2003,0,,,0,,Schwyz,0
2007,SZ,edu,SZ2007,0,,,0,,Schwyz,0
2011,SZ,edu,SZ2011,0,,,0,,Schwyz,0
1995,TG,edu,TG1995,0,,,0,,Thurgau,0
1999,TG,edu,TG1999,1.9,,,0,TG99C,Thurgau,0
2003,TG,edu,TG2003,1.9347452,,,0,,Thurgau,0
2007,TG,edu,TG2007,2.5999999,,,0,TG07B,Thurgau,0
2011,TG,edu,TG2011,3.5,,,0,TG11B,Thurgau,0
1995,TI,edu,TI1995,0,,,0,,Tessin,0
1999,TI,edu,TI1999,0,,,0,,Tessin,0
2003,TI,edu,TI2003,0,,,0,,Tessin,0
2007,TI,edu,TI2007,0,,,0,,Tessin,0
2011,TI,edu,TI2011,0,,,0,,Tessin,0
1995,UR,edu,UR1995,0,,,0,,Uri,0
1999,UR,edu,UR1999,0,,,0,,Uri,0
2003,UR,edu,UR2003,0,,,0,,Uri,0
2007,UR,edu,UR2007,0,,,0,,Uri,0
2011,UR,edu,UR2011,0,,,0,,Uri,0
1995,VD,edu,VD1995,2.7,,,0,,Waadt,0
1999,VD,edu,VD1999,2.7,,,0,,Waadt,0
2003,VD,edu,VD2003,1.7666905,,,0,VD03C,Waadt,0
2007,VD,edu,VD2007,1.3,,,0,VD07B,Waadt,0
2011,VD,edu,VD2011,1.1,,,0,VD11C,Waadt,0
1995,VS,edu,VS1995,0,,,0,,Wallis,0
1999,VS,edu,VS1999,0,,,0,,Wallis,0
2003,VS,edu,VS2003,0,,,0,,Wallis,0
2007,VS,edu,VS2007,0,,,0,,Wallis,0
2011,VS,edu,VS2011,0,,,0,,Wallis,0
1995,ZG,edu,ZG1995,0,,,0,,Zug,0
1999,ZG,edu,ZG1999,0,,,0,,Zug,0
2003,ZG,edu,ZG2003,0,,,0,,Zug,0
2007,ZG,edu,ZG2007,0,,,0,,Zug,0
2011,ZG,edu,ZG2011,0,,,0,,Zug,0
1995,ZH,edu,ZH1995,1.9,,,0,ZH95E,Zürich,0
1999,ZH,edu,ZH1999,1.8,,,0,ZH99E,Zürich,0
2003,ZH,edu,ZH2003,2.0614119,,,1,ZH03D,Zürich,1
2007,ZH,edu,ZH2007,2.0999999,,,0,ZH07C,Zürich,0
2011,ZH,edu,ZH2011,2.2,,,0,ZH11A,Zürich,0
1995,AG,evp,AG1995,3,,,0,AG95C,Aargau,0
1999,AG,evp,AG1999,3.8,,,1,AG99C,Aargau,1
2003,AG,evp,AG2003,5.22965,,,0,AG03B,Aargau,1
2007,AG,evp,AG2007,4.1999998,,,0,AG07D,Aargau,0
2011,AG,evp,AG2011,3.2,,,0,AG11C,Aargau,0
1995,AI,evp,AI1995,0,,,0,,Appenzell I. Rh. ,0
1999,AI,evp,AI1999,0,,,0,,Appenzell I. Rh. ,0
2003,AI,evp,AI2003,0,,,0,,Appenzell I. Rh. ,0
2007,AI,evp,AI2007,0,,,0,,Appenzell I. Rh. ,0
2011,AI,evp,AI2011,0,,,0,,Appenzell I. Rh. ,0
1995,AR,evp,AR1995,0,,,0,,Appenzell A. Rh.,0
1999,AR,evp,AR1999,0,,,0,,Appenzell A. Rh.,0
2003,AR,evp,AR2003,0,,,0,,Appenzell A. Rh.,0
2007,AR,evp,AR2007,0,,,0,,Appenzell A. Rh.,0
